Nom,Prénom,Parti politique ou candidat indépendant,Nom-Co,Prénom-Co,Titre,Poste no
VILMA,Djudy,Futur Montréal,,,,"8,10"
ZEBARDI,Sidali,Action Montréal - Équipe Gilbert Thibodeau,,,,"8,10"
DIFALLAH,Amine,Projet Montréal - Équipe Luc Rabouin,,,,"8,11"
ESPINAL HERNANDEZ,Brenda,Futur Montréal,,,,"8,11"
FRANKLIN,Roland,Transition Montréal - Équipe Craig Sauvé,,,,"8,11"
NUMA,Jennefer Rose Johana,Action Montréal - Équipe Gilbert Thibodeau,,,,"8,11"
POIRIER,Jean-Marc,Ensemble Montréal - Équipe Soraya,,,,"8,11"
BEAUDRY,Annie-Claude,Projet Montréal - Équipe Luc Rabouin,,,,"8,20"
LODIN,Shukria,Futur Montréal,,,,"8,20"
ROSSI,Chantal,Ensemble Montréal - Équipe Soraya,,,,"8,20"
VIXAMA,Samantha,Action Montréal - Équipe Gilbert Thibodeau,,,,"8,20"
CHARBONNEAU,Simon,Transition Montréal - Équipe Craig Sauvé,,,,"8,21"
LEBLANC,Anika,Futur Montréal,,,,"8,21"
MANCINI,Rocky Junior,Action Montréal - Équipe Gilbert Thibodeau,,,,"8,21"
MPINGA-IYENDA,Patrick,Projet Montréal - Équipe Luc Rabouin,,,,"8,21"
THERMIDOR,Philippe,Ensemble Montréal - Équipe Soraya,,,,"8,21"
BAKAYOKO,Alain,Projet Montréal - Équipe Luc Rabouin,,,,"9,00"
BRAUN,Caroline,Ensemble Montréal - Équipe Soraya,,,,"9,00"
JODY,Jennifer,Action Montréal - Équipe Gilbert Thibodeau,,,,"9,00"
HALOULOS,Georgia,Indépendant,,,,"9,10"
JACOBSEN,Jax,Projet Montréal - Équipe Luc Rabouin,,,,"9,10"
KING,Geoffrey,Ensemble Montréal - Équipe Soraya,,,,"9,10"
MAGNAN,Rosie,Transition Montréal - Équipe Craig Sauvé,,,,"9,10"
FORGET,Céline,Parti Outremont,,,,"9,20"
LALIME,Marika,Transition Montréal - Équipe Craig Sauvé,,,,"9,20"
PLANTE,Mercedez,Ensemble Montréal - Équipe Soraya,,,,"9,20"
TURP-YONEZAWA,Melissa,Projet Montréal - Équipe Luc Rabouin,,,,"9,20"
CLICHE,Amélie,Ensemble Montréal - Équipe Soraya,,,,"9,30"
GAUTHIER,Felix,Transition Montréal - Équipe Craig Sauvé,,,,"9,30"
MOREL,Laurence,Projet Montréal - Équipe Luc Rabouin,,,,"9,30"
BLOND,Eric,Indépendant,,,,"9,40"
CHOKO,Maude,Ensemble Montréal - Équipe Soraya,,,,"9,40"
GILL,Donal Sean,Transition Montréal - Équipe Craig Sauvé,,,,"9,40"
ROUDAUT,Anne,Projet Montréal - Équipe Luc Rabouin,,,,"9,40"
